"","คณะ/สาขาวิชา","","กรุณาเลือกมหาวิทยาลัย"
"0054","คณะครุศาสตร์ สาขาวิชาศิลปศึกษาเลือกสอบวิชาภาษาญี่ปุ่น (รูปแบบที่ 2)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0055","คณะครุศาสตร์ สาขาวิชาธุรกิจศึกษา (รูปแบบที่ 1)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0056","คณะครุศาสตร์ สาขาวิชาธุรกิจศึกษา (รูปแบบที่ 2)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0057","คณะอักษรศาสตร์ สาขาวิชาภูมิศาสตร์ เลือกสอบวิชาคณิตศาสตร์ 2 (รูปแบบที่ 1)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0058","คณะอักษรศาสตร์ สาขาวิชาภูมิศาสตร์เลือกสอบวิชาวิทยาศาสตร์ 2 (รูปแบบที่ 1)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0059","คณะอักษรศาสตร์ สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาคณิตศาสตร์ 2 (รูปแบบที่ 1)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0060","คณะอักษรศาสตร์ สาขาวิชาอักษรศาสตร์เลือกสอบวิชาวิทยาศาสตร์ 2 (รูปแบบที่ 1)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0061","คณะอักษรศาสตร์ สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาฝรั่งเศส (รูปแบบที่ 2)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0062","คณะอักษรศาสตร์ สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาเยอรมัน (รูปแบบที่ 2)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0063","คณะอักษรศาสตร์ สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาบาลี (รูปแบบที่ 2)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0064","คณะอักษรศาสตร์ สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาอาหรับ (รูปแบบที่ 2)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0065","คณะอักษรศาสตร์ สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาจีน (รูปแบบที่ 2)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0066","คณะอักษรศาสตร์ สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาญี่ปุ่น (รูปแบบที่ 2)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0067","คณะอักษรศาสตร์ สาขาวิชาภาษาญี่ปุ่น","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0068","คณะรัฐศาสตร์ สาขาวิชาการปกครอง เลือกสอบวิชาสังคมศึกษา 2 (รูปแบบที่ 1)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0069","คณะรัฐศาสตร์ สาขาวิชาการปกครอง เลือกสอบวิชาภาษาฝรั่งเศส (รูปแบบที่ 1)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0070","คณะรัฐศาสตร์ สาขาวิชาการปกครอง เลือกสอบวิชาภาษาเยอรมัน (รูปแบบที่ 1)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0071","คณะรัฐศาสตร์ สาขาวิชาการปกครอง เลือกสอบวิชาภาษาจีน (รูปแบบที่ 1)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
"0072","คณะรัฐศาสตร์ สาขาวิชาการปกครอง เลือกสอบวิชาภาษาญี่ปุ่น (รูปแบบที่ 1)","0001","จุฬาลงกรณ์มหาวิทยาลัย"
